title,posted_at,description,skills,fixed_price
"Expert tech writer, blogger, journalist with high level SEO Skills.  - Brazilian Portuguese only!",2020-05-17T13:32:48.832Z,"As a highly skilled writer in Brazilian Portuguese, you will research, create and edit technology related articles.  We are looking for writers that can deliver well researched, SEO optimised content.  You must be able to download and use a variety of software products, explain how they work, give advice and develop how-to guides. Referencing our brand strategy, you will create content/guides similar to our desired voice. Researching topics, gathering data for infographics will be part of your skill set. We are looking for longer term partnerships with writers that are self managing and motivated. 

Please read and be familiar with the above requirements.  This positon requires an Expert. Translation and a native speaker Brazilian Portuguese is not all that is required.  

Please send/attach to your proposal ONLY: Work that you have originally researched, verified and written in BR-PT.

As work improves, so will the wage.

Mandatory:
Native Brazilian Portuguese  (Translate apps and functions do not count)
Fluent in English
SEO and keyword planning
Able to use download, install, use and create guides for software applications
Infographic data planning
Long form guides
Layout Optimisation for conversions
Hyperlinking and reference material
Able to research and create UNIQUE content.","Article, Blog Content, Fact-Checking, SEO, Research, Portuguese, English, Brazilian Portuguese Dialect, Article Writing, Proofreading, Editing, Writing, Creative Writing, SEO Writing, Blog Writing, Marketing Strategy, English to Brazilian Portuguese Translation",$80
Annotate map image and add captions to images for proposal document,2021-12-09T09:50:43.391Z,"Hi, I'm looking for someone to finalize the graphics for a proposal to be sent to a potential client. I will send the materials after reviewing portfolios. So for now, just give a ballpark estimate for the initial bid. (If you prefer to do this on an hourly basis that is possible. By the way, the average hourly rate shown is not representative because several of my previous contracts involved lawyers!)

Note that this does not involve detailed graphics editing to create new content. Instead you will be making a few enhancements to existing images.

The main work will be to annotate an existing map to highlight why there are problems in the client's current location. This will involve the following steps:
- Add six phrases (e.g., ""waste"" and ""more waste"") in large prominent font.
- Impose image for nearby business (e.g., the review summary from Google Maps),
- Add a few icons to make more intuitive (e.g., dump trucks).
I'll supply all the images, so you will be mainly combining them and adding text.

You will also create a separate version of the map with space for 'from' and 'to' addresses. The result will be formatted so that it fits on the front of a 8x11"" envelop. It will also be used inside as a glossy attachment (full page).

The other graphics work will just involve adding captions to images for incorporation into a document. This should be editable with Microsoft Word, but PDF would be fine.

Summary of work:
1. Full-sized annotated Google Map of business location w/ a few textual annotations and icons.
2. Reduced version including 'from' and 'to' address text annotations
   [to be printed on full-sized envelop sticker paper].
3. 2 pages of half-page attachments: 2 maps and 2 search results.
4. 1 full-page attachment: web search results in landscape mode
   [to be printed on full-sized envelop sticker paper].
Note: 1 is the main task; 2 is slight variation of 1, and, 3 & 4 involve adding captions to existing images.
",Graphic Design,$100
1.000 Animated NFT Designs,2022-01-03T18:41:26.873Z,"Hey You👋🏻,

I'm Ole from JustUp Club. We are a marketing agency based in Hamburg. We want to build another NFT Project and we need really good Designs. Our Project is about jellyfishes.

Here are some example NFTs where you can get an understanding of what we want:
https://opensea.io/collection/doodles-official
https://opensea.io/collection/cool-cats-nft
https://opensea.io/collection/alienfrensnft
https://opensea.io/collection/coolmans-universe

You will be asked to answer the following questions when submitting a proposal.
Where can we find examples of your past work?
How many hours a week are you available in the future?

Please start the proposal with ""Hey Blue"" that we can see whether you have read through the whole listing. 

Best,

Ole from the JustUp Club","nft, Cartoon, Character Design",$350
US Immigration Attorney,2021-12-02T21:12:53.858Z,"Legal Plan Company looking for a licensed US Immigration attorney to prepare immigration documents for clients. You will need to be able to provide the necessary documents for each client. 

Rates are negotiable but will typically be between 500-1000 for the document preparation. 

We work in all 50 states so clients will be from around the country. Bilingual in at least Spanish/English preferred. ","Immigration Law, Green Cards, Work Visas, H-1B Visas, Immigration Documents, Legal Services, Legal","$1,000"
Perfectly remove background for 2 character images,2021-12-25T13:54:09.881Z,"I have 2 images I need to remove the background from.
I'll provide a high-quality of the source and expect to get a perfectly edited transparent PNG of each one of them including the hair taken care of.
https://depositphotos.com/204439702/stock-photo-shy-lady-with-pink-hair.html
https://depositphotos.com/202229622/stock-photo-pink-haired-lady-listening-music.html","Adobe Photoshop, Photo Editing, Image Editing",$15
Bubble based frontend work to show different areas of interest on a map,2022-01-01T14:44:40.196Z,"You will need to build a website on bubble. This website will integrate with API endpoints we provide. The scope includes creating a responsive website that shows different areas of interest on a map, provide details of each of these points of interest, allows users to select different filters for these areas of interest, and display a predefined route between two points of interest. ","API Integration, bubble",$350
Facebook & Instagram Ads Camapaign,2022-01-02T17:07:08.760Z,We need to set up a campaign to generate leads as we are offering services for print design and digital design in the USA market what you can offer? and second is the store selling car accessories. We have set up things previously with another person but it is not much effective on both category campaigns.,"Instagram, Social Media Advertising, Facebook, Social Media Marketing, Facebook Advertising, Social Media Management",$100
Представитель TITAN Technology по российскому рынку,2021-10-15T07:25:31.078Z,"Уважаемые соискатели
Компания Titan Technology основанна в 1989 году в Тайване, является выдающимся лидером в области охлаждения процессора с элитной инженерной командой. Мы постоянно предоставляем инновационные охлаждающие продукты, вдохновленные жизненными потребностями, необходимостью в процессоре охлаждении.

Условия
	Доход Американским долларом. (оплата за каждый заказ)
	Работа от дома.
	Возможность влиять на свой доход за счет дополнительных выходов.
	Работа на русском языке.
	Возможность профессионального и карьерного роста по рынку Европы со стабильным доходом. 
	Представитель выставок по российскому рынку с дополнительным доходом. (Если будет нужно)
	Съёмка товара с дополнительным доходом. (Если будет нужно)
	Корпоративные скидки
	Фирменная спецодежда.

Обязанности:
	Представитель TITAN Technology по российскому рынку. 
	Оформление ООО компании TITAN Technology Limited в России.
	Помощь счёта налога.
	Оформление нужных документов.
	Получение товара из Тайваня и сохранение.
	Отправление товара клиентам и получение от клиентам.

Требования:
	Российский гражданин
	Ответственный подход к работе.
	Базовые знания компьютера и интернета.
	Связаться с нами по Skype или What'app.

Если Вам необходимо больше информации, пожалуйста, сообщите нам об этом. 

записывайся на собеседование!
Работа с брендами класса люкс мирового уровня!
","Россия, Российский рынок, Восточная Европа, Интернет-магазин, онлайн-магазин, яндекс, wildberries, американским долларом, работа от дома, на русском языке, TITAN Technology, компьютерный кулер, вентилятор",$120
"NFT projects related to climate change : roadmap, strategy",2022-01-01T17:58:46.682Z,"We are creating NFT pass to build a Vegan community so as to motivate general public to eat less meat,  and increase awareness for climate change & animal welfare.

Need advice with roadmap & strategic development.

thanks
",Marketing Strategy,$100
Dropshipping - Transfer mapping from Oberlo account to DSers account,2021-11-14T10:14:55.021Z,"Hello,

DISCLAIMER :)

I'm not looking for someone to deal with my orders or any fulfillments tasks or mapping the products.

I'm looking for someone who can solve my syncing issue between Oberlo & DSers


Here's the situation : there is a Shopify store using Oberlo to do drosphipping.

Now the store uses DSers.

But all the mapping is missing.

The sync button has been used (this one https://ibb.co/vPhytVT) but most of the products have not been synced (like 99%).

There's a explanation message mentioning the potential causes of the non-sync (this one https://ibb.co/Gtjmypv).

The issue is that it's impossible that those reasons lead to 99% not being synced.

In order to filter out low-quality freelancers, please start your application message by “OBERLO2DSERS”. If you don't, you will drastically reduce your chances.

Indeed, a freelancer who will have taken the time to read thoroughly this job description is what we are looking for.

Also, please ask the questions you may have and make an offer (I put 50$ for the sake of having an offer but I'm open to the discussion).

Looking forward to reading your application message!

P.S. : I will provide the Loom I shared with DSers chat support to the people who will apply ""correctly"".
","Oberlo, Shopify, dsers, AliExpress, dropshipping",$50
Data Capture - from google maps ,2021-12-15T20:52:29.029Z,"I am looking for a data entry professional to capture data from online search engines, to identify venues bars, Hotels in Limerick city and county area that would be of interest to our companies product. ","Data Entry, Data Scraping, Data Mining",$100
Build a page with google maps and APIs (Angular),2021-12-12T03:02:18.732Z,"Hi,
I'm looking for someone experienced to do the project.
the project basically is:
one page contains 4 input and a google map.
the inputs are an APIs
the 4 inputs are:
1- City
2- Area or District
3- block
4- Plot

and every input has a ""geo"" object in it, which is the polygons for each data, I want to reflect that In the map, and draw their polygons.

so I want for example if I choose City X, I want to map interact with the user, it'll zoom to the location and show the polygon of the city, and so goes on for the other fields.

+ I want to add a feature ""take me to the location"" to take the user to google maps to see the directions.

Thanks.","TypeScript, Angular, API",$150
Need WordPress Admin To Solve Issues I Am Having With A Site,2021-12-17T03:21:26.154Z,"I have a WordPress website that has hardcoded content that I need to be edited.

Simple things like changing the H1 tag on the home page and a bit of the content.

Also, the phone number on the site in the footer and the address is slightly off

Currently I cannot find out where to access the content that needs to be updated

Should be a quick simple job.

Than looking for someone for similar tasks on an ongoing basis","WordPress, JavaScript, PHP, HTML, CSS, Web Programming",$25
Unreal Engine Level Artist (for immersive projection mapping),2021-12-13T17:34:04.046Z,"Hi, we're looking for talented 3D artists to build Unreal Engine worlds in various styles:
- abstract
- fractal-based
- fantasy/magic
- sci-fi

The end goal is rendered video where the camera explores worlds, for 3-4 minutes each. 

If interested, please send a maximum of 3 links to video renders of worlds you've built.

During the collaboration, you're free to bring your creative ideas or re-use worlds you previously built.

We produced immersive concerts of film music seen by 20+ Million fans on youtube. 
If things go well, this could lead to a much longer-term collaboration. ","Unreal Engine, 3D Design, 3D, 3D Modeling",$300
